Sport,Year,Category,Title
TENNIS - GIRLS,2023,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,1981,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,1982,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,1983,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,1988,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,1991,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,1997,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,1998,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,2003,LEAGUE,LEAGUE CHAMPION
SWIMMING AND DIVING - GIRLS,2004,LEAGUE,LEAGUE CHAMPION
